Вымпел-Коммуникации ПАО обл.01,RU000A0JS5E9,,,30.92,,,,,,30.92,,,,,,30.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Вымпел-Коммуникации ПАО обл.04,RU000A0JS5F6,,,30.92,,,,,,30.92,,,,,,30.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
МЕТАЛЛОИНВЕСТ ХК АО обл. 06,RU000A0JS5L4,,,0.05,,,,,,0.05,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Вымпел-Коммуникации ПАО обл.02,RU000A0JS5M2,,,30.92,,,,,,30.92,,,,,,30.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
МСП Банк АО 01,RU000A0JS5R1,,,34.90,,,,,,34.90,,,,,,34.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
МСП Банк АО 02,RU000A0JS603,,37.40,,,,,,37.40,,,,,,37.40,,,,,,37.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
РОСБАНК ПАО обл. БО-05,RU000A0JS6M0,,,,33.84,,,,,,33.84,,,,,,33.84,,,,,,33.84,,,,,,33.84,,,,,,33.84,,,,,,33.84,,,,,,,,,
"""Россельхозбанк"" (АО) обл.16",RU000A0JS6N8,,,,30.67,,,,,,30.67,,,,,,30.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Промсвязьбанк ПАО обл.05,RU000A0JS710,,,,0.50,,,,,,0.50,,,,,,0.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Промсвязьбанк ПАО обл.04,RU000A0JS793,,,,0.50,,,,,,0.50,,,,,,0.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Евразийский банк развития 06,RU000A0JS8Y1,,,36.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Евразийский банк развития 07,RU000A0JS8Z8,,,43.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Евразийский банк развития 08,RU000A0JS900,,,,40.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Евразийский банк развития 09,RU000A0JS918,,,,,44.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Евразийский банк развития 10,RU000A0JS926,,,,,,,61.08,,,,,,61.08,,,,,,61.08,,,,,,61.08,,,,,,,,,,,,,,,,,,,,,,,,
Евразийский банк развития 11,RU000A0JS934,38.64,,,,,,38.64,,,,,,38.64,,,,,,38.64,,,,,,38.64,,,,,,38.64,,,,,,38.64,,,,,,38.64,,,,,,38.64
Управление отходами - НН АО,RU000A0JS9X1,,,,,,,,,,,,,,,,,,,,,,,,169.53,,,,,,,,,,,,,,,,,,,,,,,,,
"""Российские ЖД"" ОАО 32 обл.",RU000A0JSGV0,,,,,,,25.43,,,,,,25.43,,,,,,25.43,,,,,,25.43,,,,,,25.43,,,,,,25.43,,,,,,25.43,,,,,,25.43
"""ФСК ЕЭС""(ПАО)-обл. сер.22",RU000A0JSQ58,29.92,,,,,,29.92,,,,,,29.92,,,,,,29.92,,,,,,29.92,,,,,,29.92,,,,,,29.92,,,,,,29.92,,,,,,29.92
"ВТБ об. 3-ИП класса ""А""",RU000A0JSZF3,,2.18,,,2.18,,,2.18,,,2.18,,,2.18,,,2.18,,,2.18,,,2.18,,,2.18,,,2.18,,,2.18,,,2.18,,,2.18,,,2.18,,,2.18,,,2.18,,
"ВТБ об. 3-ИП класса ""Б""",RU000A0JSZG1,,0.73,,,0.73,,,0.73,,,0.73,,,0.73,,,0.73,,,0.73,,,0.73,,,0.73,,,0.73,,,0.73,,,0.73,,,0.73,,,0.73,,,0.73,,,0.73,,
"""ФСК ЕЭС""(ПАО)-обл. сер.25",RU000A0JT2K2,,,24.93,,,,,,24.93,,,,,,24.93,,,,,,24.93,,,,,,24.93,,,,,,24.93,,,,,,24.93,,,,,,24.93,,,,
ВЭБ.РФ об. сер. 18,RU000A0JT403,,,,38.24,,,,,,38.24,,,,,,38.24,,,,,,38.24,,,,,38.24,,,,,,38.24,,,,,,38.24,,,,,,38.24,,,,
Волга-Спорт АО обл. 02,RU000A0JT593,,71.04,,,,,,,,,,,,,71.04,,,,,,,,,,,,71.04,,,,,,,,,,,,71.04,,,,,71.04,,,,,
ВЭБ.РФ об. сер. 19,RU000A0JT6B2,,,,48.62,,,,,,48.62,,,,,,48.62,,,,,,48.62,,,,,,48.62,,,,,,48.62,,,,,,48.62,,,,,,48.62,,,
ГПБ (АО) об. сер.12,RU000A0JT6J5,,,,37.50,,,,,,37.50,,,,,,37.50,,,,,,37.50,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Россельхозбанк"" (АО) обл.17",RU000A0JT7M7,,,,40.89,,,,,,40.89,,,,,,40.89,,,,,,40.89,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""ФСК ЕЭС""(ПАО)-обл. сер.21",RU000A0JT7T2,,,,36.90,,,,,,36.90,,,,,,36.90,,,,,,36.90,,,,,,36.90,,,,,,36.90,,,,,,36.90,,,,,,36.90,,,
"""Россельхозбанк"" (АО) обл.18",RU000A0JT874,,,,40.89,,,,,,40.89,,,,,,40.89,,,,,,40.89,,,,,,,,,,,,,,,,,,,,,,,,,,,
ПАО НК Роснефть обл.04,RU000A0JT940,,,,39.39,,,,,,39.39,,,,,,39.39,,,,,,39.39,,,,,,,,,,,,,,,,,,,,,,,,,,,
ПАО НК Роснефть обл.05,RU000A0JT965,,,,39.39,,,,,,39.39,,,,,,39.39,,,,,,39.39,,,,,,,,,,,,,,,,,,,,,,,,,,,
Главная дорога АО об.сер. 07,RU000A0JTB96,,,,,54.65,,,,,,,,,,,,54.65,,,,,,,,,,,,54.65,,,,,,,,,,,,54.65,,,,,,,,
ИА АИЖК 2011-1 об.кл.А1/12,RU000A0JTCV7,,2.16,,,2.16,,,2.16,,,2.16,,,2.16,,,2.16,,,2.16,,,2.16,,,2.16,,,,2.16,,,2.16,,,2.16,,,2.16,,,2.16,,,2.16,,,2.16,
ИА АИЖК 2011-1 об.кл.А2/12,RU000A0JTD52,,0.72,,,0.72,,,0.72,,,0.72,,,0.72,,,0.72,,,0.72,,,0.72,,,0.72,,,,0.72,,,0.72,,,0.72,,,0.72,,,0.72,,,0.72,,,0.72,
ДОМ.РФ (АО) обл. сер.А24,RU000A0JTDX1,,15.88,,,15.88,,,15.88,,,15.88,,,15.88,,,15.88,,,15.88,,,15.88,,,15.88,,,15.88,,,,,,,,,,,,,,,,,,,,
Главная дорога АО об.сер. 06,RU000A0JTFB2,,,,,,54.65,,,,,,,,,,,,54.65,,,,,,,,,,,54.65,,,,,,,,,,,,54.65,,,,,,,,
"""ФСК ЕЭС""(ПАО)-обл. сер.24",RU000A0JTKA4,,,,,,,24.93,,,,,,24.93,,,,,,24.93,,,,,,24.93,,,,,,24.93,,,,,,24.93,,,,,,24.93,,,,,,24.93
МЕТАЛЛОИНВЕСТ ХК АО обл. 02,RU000A0JTLJ3,38.15,,,,,,38.15,,,,,,38.15,,,,,,38.15,,,,,,38.15,,,,,,,,,,,,,,,,,,,,,,,,
МЕТАЛЛОИНВЕСТ ХК АО обл. 03,RU000A0JTLL9,38.15,,,,,,38.15,,,,,,38.15,,,,,,38.15,,,,,,38.15,,,,,,,,,,,,,,,,,,,,,,,,
